0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	3
31	3
32	3
33	3
34	3
35	3
36	4
37	4
38	4
39	4
40	5
41	5
42	5
43	5
44	6
45	6
46	6
47	7
48	7
49	8
50	8
51	9
52	10
53	11
54	12
55	14
56	15
57	17
58	19
59	21
60	23
61	25
62	28
63	31
64	34
65	37
66	40
67	45
68	49
69	53
70	58
71	62
72	68
73	72
74	77
75	82
76	87
77	93
78	98
79	103
80	107
81	112
82	116
83	121
84	126
85	130
86	135
87	139
88	143
89	147
90	151
91	154
92	157
93	160
94	162
95	164
96	167
97	169
98	171
99	173
100	174
101	176
102	177
103	178
104	179
105	180
106	180
107	181
108	182
109	183
110	184
111	184
112	185
113	186
114	187
115	188
116	189
117	189
118	190
119	191
120	192
121	192
122	193
123	194
124	195
125	195
126	196
127	197
128	198
129	198
130	199
131	200
132	200
133	201
134	201
135	202
136	202
137	203
138	203
139	204
140	204
141	205
142	206
143	206
144	207
145	208
146	208
147	209
148	209
149	210
150	211
151	211
152	212
153	213
154	213
155	214
156	214
157	215
158	215
159	216
160	216
161	217
162	217
163	218
164	218
165	219
166	219
167	220
168	220
169	221
170	221
171	222
172	222
173	223
174	223
175	224
176	224
177	225
178	225
179	226
180	226
181	226
182	227
183	227
184	228
185	228
186	229
187	229
188	229
189	230
190	230
191	231
192	231
193	231
194	232
195	232
196	232
197	233
198	233
199	234
200	234
201	234
202	235
203	235
204	236
205	236
206	237
207	237
208	237
209	238
210	238
211	239
212	239
213	240
214	240
215	241
216	241
217	242
218	242
219	243
220	243
221	243
222	244
223	244
224	245
225	246
226	246
227	247
228	248
229	248
230	249
231	249
232	249
233	250
234	250
235	251
236	251
237	251
238	252
239	252
240	252
241	252
242	253
243	253
244	253
245	253
246	254
247	254
248	254
249	254
250	254
251	254
252	254
253	254
254	254
255	254
